field_code,analysis_consideration_code,analysis_consideration_condition,analysis_consideration_text,analysis_consideration_note
bait_lure,c_baitlure,"bait_lure==""TRUE""",,
bait_lure_cams,c_baitlure_var,"bait_lure_cams==""baitlure_subsetcams""",,
cam_makemod_same,c_cam_make_model,"cam_makemod_same==""TRUE""",,
cam_protocol_ht_angle,c_cam_protocol_ht_angle,"cam_protocol_ht_angle==""Variable""",,
cam_settings_mult,c_cam_settings,"cam_settings_mult==""TRUE""",,
cam_strat_covar,c_cam_strat_covar_num,cam_strat_covar_num>0,,
sp_detprob_cat,c_detprob,"sp_behav%c(""unkn"",""multiple""),""TRUE"",""FALSE"")",,
multisamp_per_loc,c_mixed_mods,"multisamp_per_loc==""TRUE"" | overdispersion==""TRUE""",,
sp_rarity,c_rarity,"sp_rarity %in% c(""unkn"",""multiple""),""TRUE"",""FALSE""",,
sp_behav,c_sp_behav,"sp_behav %in% c(""exploratory"",""avoidant"",""unkn"",""variable"")",,
sp_behav,c_sp_behav_mult,"sp_behav %in% c(""variable"",""unkn"")",,
obj_targ_sp,c_sp_behav_season,"sp_behav_season %in% c(""YES"",""unkn"")",,CHECK
sp_rarity,c_sp_rarity_mult,,,ADD
sp_behav_season,c_sp_season,"sp_behav_season %in%  c(""YES"",""unkn"")",,
sp_size,c_sp_size,"sp_size==""multiple""",,
study_area_mult,c_study_area_num,"study_area_mult==""TRUE""",,
study_season_num,c_study_season_num,study_season_num>1,,
targ_feature_same,c_targ_feature_multi,,,ADD
targ_feature,c_targetfeature,"targ_feature=""TRUE""",,
