q_num,progress_bar_num,progress_bar_text
1,1,Objectives & resources
2,1,Objectives & resources
3a,1,Objectives & resources
3b,1,Objectives & resources
4,2,Study area & Site selection constraints
5,2,Study area & Site selection constraints
6a,2,Study area & Site selection constraints
6b,2,Study area & Site selection constraints
7,2,Study area & Site selection constraints
8a,3,Duration / Timing
8b,3,Duration / Timing
9a,3,Duration / Timing
9b,3,Duration / Timing
10,3,Duration / Timing
11,3,Duration / Timing
12,3,Duration / Timing
13,4,Target species
14,4,Target species
15,4,Target species
16,4,Target species
17,4,Target species
18a,4,Target species
18b,4,Target species
20,4,Target species
21,4,Target species
22,4,Target species
23,4,Target species
24,4,Target species
25,4,Target species
26,4,Target species
27,4,Target species
28,4,Target species
29,4,Target species
30,4,Target species
31,4,Target species
32,4,Target species
33,4,Target species
34,4,Target species
35,4,Target species
36,4,Target species
37,4,Target species
38,4,Target species
39,4,Target species
40,4,Target species
41,5,Deploy cameras & retrieve data
42,5,Deploy cameras & retrieve data
43,5,Deploy cameras & retrieve data
44,5,Deploy cameras & retrieve data
45,5,Deploy cameras & retrieve data
46,5,Deploy cameras & retrieve data
47,5,Deploy cameras & retrieve data
48,5,Deploy cameras & retrieve data
49,5,Data & analysis
50,5,Data & analysis
51,5,Data & analysis
52,5,Data & analysis
53,5,Data & analysis
54,5,Data & analysis
55,5,Data & analysis
56,5,Data & analysis
57,5,Data & analysis
58,5,Data & analysis
59,5,Data & analysis
60,5,Data & analysis
